width:13.391, height:6.141, time:0.0
width:13.366, height:6.14, time:0.0
width:13.316, height:6.162, time:0.004631757736206055
width:13.228, height:6.064, time:0.009326696395874023
width:13.146, height:6.039, time:0.01132822036743164
width:13.146, height:6.034, time:0.013325214385986328
width:13.147, height:6.03, time:0.015984773635864258
width:13.178, height:6.078, time:0.018990278244018555
width:13.183, height:6.1, time:0.019992351531982422
width:13.268, height:6.123, time:0.025120258331298828
width:13.268, height:6.125, time:0.02644062042236328
width:13.268, height:6.093, time:0.028696775436401367
width:13.183, height:6.102, time:0.03221249580383301
width:13.183, height:6.1, time:0.03321337699890137
width:13.102, height:6.094, time:0.036209821701049805
width:13.116, height:6.097, time:0.03926444053649902
width:13.044, height:6.098, time:0.041687965393066406
width:13.143, height:6.182, time:0.044686079025268555
width:13.168, height:6.178, time:0.04568958282470703
width:13.17, height:6.071, time:0.048552513122558594
width:13.219, height:6.15, time:0.0510554313659668
width:13.171, height:6.118, time:0.05264115333557129
width:13.195, height:6.088, time:0.05605340003967285
width:13.119, height:6.106, time:0.059024810791015625
width:13.119, height:6.121, time:0.06179237365722656
width:13.119, height:6.122, time:0.06288480758666992
width:13.095, height:6.131, time:0.06592273712158203
width:13.12, height:6.129, time:0.06725835800170898
width:13.12, height:6.117, time:0.07027220726013184
width:13.144, height:6.131, time:0.07327771186828613
width:13.119, height:6.148, time:0.07637214660644531
width:13.095, height:6.135, time:0.0789952278137207
width:13.095, height:6.152, time:0.08204054832458496
width:13.068, height:6.177, time:0.08509397506713867
width:13.018, height:6.134, time:0.08811783790588379
width:13.018, height:6.161, time:0.09111618995666504
width:13.042, height:6.228, time:0.09664630889892578
width:13.041, height:6.162, time:0.1069495677947998
width:13.041, height:6.168, time:0.1069495677947998
width:13.041, height:6.168, time:0.10843324661254883
width:13.041, height:6.152, time:0.11275792121887207
width:13.09, height:6.146, time:0.11618542671203613
width:13.066, height:6.09, time:0.11919069290161133
width:13.066, height:6.118, time:0.12044906616210938
width:13.091, height:6.129, time:0.12286233901977539
width:13.091, height:6.174, time:0.12586212158203125
width:13.091, height:6.172, time:0.1268632411956787
width:13.167, height:6.17, time:0.13194823265075684
width:13.167, height:6.202, time:0.13533544540405273
width:13.191, height:6.13, time:0.13834166526794434
width:13.191, height:6.128, time:0.1393420696258545
width:13.191, height:6.148, time:0.14233970642089844
width:13.241, height:6.12, time:0.14451956748962402
width:13.241, height:6.119, time:0.14652132987976074
width:13.293, height:6.123, time:0.1495201587677002
width:13.293, height:6.079, time:0.1524806022644043
width:13.242, height:6.086, time:0.1551523208618164
width:13.242, height:6.097, time:0.15833735466003418
width:13.242, height:6.101, time:0.15833735466003418
width:13.243, height:6.093, time:0.1618514060974121
width:13.216, height:6.063, time:0.16485118865966797
width:13.216, height:6.067, time:0.16607403755187988
width:13.217, height:6.063, time:0.16931629180908203
width:13.292, height:6.075, time:0.17231392860412598
width:13.242, height:6.146, time:0.1746959686279297
width:13.217, height:6.083, time:0.17569804191589355
width:13.217, height:6.063, time:0.1787867546081543
width:13.291, height:6.115, time:0.18197274208068848
width:13.292, height:6.114, time:0.1832122802734375
width:13.217, height:6.085, time:0.18603777885437012
width:13.143, height:6.067, time:0.18924212455749512
width:13.217, height:6.083, time:0.19224023818969727
width:13.217, height:6.095, time:0.19524073600769043
width:13.242, height:6.059, time:0.19852900505065918
width:13.192, height:6.079, time:0.20336198806762695
width:13.217, height:6.09, time:0.20617079734802246
width:13.217, height:6.057, time:0.2111806869506836
width:13.267, height:6.079, time:0.21418046951293945
width:13.267, height:6.046, time:0.21735286712646484
width:13.266, height:6.071, time:0.21854066848754883
width:13.165, height:6.024, time:0.22290778160095215
width:13.14, height:6.016, time:0.22446703910827637
width:13.142, height:5.93, time:0.22719359397888184
width:13.115, height:6.042, time:0.23020219802856445
width:13.089, height:6.075, time:0.2332007884979248
width:13.141, height:6.079, time:0.2363119125366211
width:13.215, height:6.032, time:0.23912310600280762
width:13.343, height:6.025, time:0.24222278594970703
width:13.338, height:6.055, time:0.24502992630004883
width:13.309, height:6.004, time:0.24803876876831055
width:13.165, height:6.031, time:0.2514965534210205
width:13.19, height:6.088, time:0.2565124034881592
width:13.242, height:6.073, time:0.2607443332672119
width:13.211, height:6.059, time:0.26392412185668945
width:13.239, height:6.127, time:0.2675778865814209
width:13.215, height:6.137, time:0.26975202560424805
width:13.268, height:6.186, time:0.2727515697479248
width:13.291, height:6.096, time:0.2757604122161865
width:13.294, height:6.084, time:0.2793755531311035
width:13.269, height:6.111, time:0.28043127059936523
width:13.216, height:6.129, time:0.28355836868286133
width:13.241, height:6.083, time:0.28623104095458984
width:13.217, height:6.082, time:0.2892265319824219
width:13.244, height:6.113, time:0.29222679138183594
width:13.291, height:6.049, time:0.29494667053222656
width:13.291, height:6.053, time:0.29595184326171875
width:13.291, height:6.075, time:0.2989346981048584
width:13.266, height:6.097, time:0.30193090438842773
width:13.243, height:6.126, time:0.3069310188293457
width:13.285, height:6.133, time:0.30793190002441406
width:13.262, height:6.118, time:0.3109307289123535
width:13.266, height:6.109, time:0.3159308433532715
width:13.266, height:6.073, time:0.3194584846496582
width:13.243, height:6.063, time:0.32076144218444824
width:13.242, height:6.071, time:0.32076144218444824
width:13.242, height:6.075, time:0.32202744483947754
width:13.217, height:6.108, time:0.32503533363342285
width:12.962, height:6.109, time:0.3282198905944824
width:13.37, height:6.108, time:0.32970404624938965
width:13.002, height:6.104, time:0.331892728805542
width:13.344, height:6.091, time:0.33537721633911133
width:13.344, height:6.07, time:0.33672189712524414
width:13.143, height:6.015, time:0.3412132263183594
width:13.099, height:6.016, time:0.3445258140563965
width:13.051, height:6.043, time:0.34670019149780273
width:13.053, height:6.031, time:0.350170373916626
width:13.051, height:6.068, time:0.35154199600219727
width:13.003, height:6.094, time:0.3546006679534912
width:13.005, height:6.097, time:0.35709190368652344
width:13.058, height:6.104, time:0.361907958984375
width:13.033, height:6.094, time:0.36290717124938965
width:13.054, height:6.093, time:0.3663754463195801
width:13.084, height:6.118, time:0.36937665939331055
width:13.084, height:6.097, time:0.37169957160949707
width:13.083, height:6.084, time:0.37270092964172363
width:13.058, height:6.101, time:0.37650299072265625
width:13.057, height:6.106, time:0.3775484561920166
width:13.057, height:6.111, time:0.3775484561920166
