width:14.209, height:5.996, time:0.001999378204345703
width:14.21, height:6.004, time:0.003000497817993164
width:14.21, height:6.009, time:0.005003452301025391
width:14.115, height:6.045, time:0.0069997310638427734
width:14.115, height:6.052, time:0.008004426956176758
width:14.09, height:6.027, time:0.01101064682006836
width:14.116, height:6.021, time:0.012009859085083008
width:14.194, height:6.004, time:0.01501011848449707
width:14.116, height:6.043, time:0.01812148094177246
width:14.116, height:6.047, time:0.019908666610717773
width:14.091, height:6.043, time:0.022113800048828125
width:14.091, height:6.062, time:0.02311253547668457
width:14.091, height:6.066, time:0.02618861198425293
width:14.091, height:6.064, time:0.027494430541992188
width:14.116, height:6.05, time:0.030504703521728516
width:14.092, height:6.045, time:0.03294777870178223
width:14.092, height:6.045, time:0.033967018127441406
width:14.092, height:6.039, time:0.03681755065917969
width:14.092, height:6.035, time:0.037833213806152344
width:14.092, height:6.027, time:0.041097402572631836
width:14.092, height:6.012, time:0.04417014122009277
width:14.092, height:6.01, time:0.045389652252197266
width:14.116, height:5.996, time:0.048400163650512695
width:14.116, height:5.994, time:0.04940223693847656
width:14.192, height:6.01, time:0.05218052864074707
width:14.117, height:6.039, time:0.05397629737854004
width:14.141, height:6.002, time:0.05610013008117676
width:14.116, height:5.994, time:0.05910038948059082
width:14.116, height:6.0, time:0.06010699272155762
width:14.115, height:5.998, time:0.06383347511291504
width:14.064, height:5.969, time:0.06622195243835449
width:14.089, height:6.012, time:0.06823062896728516
width:14.089, height:6.037, time:0.06823062896728516
width:14.09, height:6.047, time:0.06938624382019043
width:14.09, height:6.06, time:0.07265520095825195
width:14.089, height:6.05, time:0.0753333568572998
width:14.089, height:6.05, time:0.07682371139526367
width:14.089, height:6.05, time:0.07783102989196777
width:14.064, height:6.052, time:0.07885313034057617
width:14.064, height:6.035, time:0.08100247383117676
width:14.064, height:6.039, time:0.08301258087158203
width:14.065, height:6.058, time:0.08530426025390625
width:14.144, height:6.035, time:0.08630514144897461
width:14.093, height:6.014, time:0.08931326866149902
width:14.093, height:6.005, time:0.09231352806091309
width:14.094, height:6.005, time:0.09331655502319336
width:14.017, height:6.068, time:0.09631872177124023
width:14.069, height:5.981, time:0.09731435775756836
width:14.068, height:5.978, time:0.10031318664550781
width:14.068, height:5.972, time:0.10131502151489258
width:14.112, height:6.077, time:0.10432624816894531
width:14.115, height:6.004, time:0.10718035697937012
width:14.115, height:6.001, time:0.10819029808044434
width:14.114, height:6.0, time:0.1112520694732666
width:14.015, height:5.989, time:0.11458778381347656
width:14.07, height:5.95, time:0.11558699607849121
width:14.071, height:5.966, time:0.11858677864074707
width:14.068, height:6.013, time:0.12163519859313965
width:14.068, height:6.039, time:0.12436771392822266
width:14.095, height:6.0, time:0.12588000297546387
width:14.017, height:5.95, time:0.12888431549072266
width:14.017, height:6.021, time:0.1318807601928711
width:13.991, height:5.998, time:0.13427305221557617
width:13.991, height:6.018, time:0.1357862949371338
width:13.992, height:6.045, time:0.13846707344055176
width:13.992, height:6.056, time:0.13989758491516113
width:13.992, height:6.043, time:0.14208245277404785
width:13.992, height:6.041, time:0.14318108558654785
width:13.992, height:6.018, time:0.14668846130371094
width:13.993, height:6.021, time:0.14914417266845703
width:14.018, height:6.021, time:0.15014410018920898
width:14.018, height:6.039, time:0.15314674377441406
width:14.018, height:6.045, time:0.1541438102722168
width:14.018, height:6.045, time:0.15514802932739258
width:14.018, height:6.031, time:0.15814471244812012
width:13.993, height:6.029, time:0.15914487838745117
width:13.993, height:6.043, time:0.16114521026611328
width:13.993, height:6.058, time:0.16114521026611328
width:13.993, height:6.066, time:0.16114521026611328
width:13.993, height:6.068, time:0.16517353057861328
width:14.062, height:6.048, time:0.16617131233215332
width:14.038, height:6.056, time:0.16917181015014648
width:13.967, height:5.794, time:0.17017102241516113
width:13.968, height:6.023, time:0.1731719970703125
width:13.968, height:6.029, time:0.17417097091674805
width:13.942, height:6.052, time:0.17717528343200684
width:13.988, height:6.055, time:0.18115806579589844
width:13.993, height:6.012, time:0.1831972599029541
width:13.918, height:6.054, time:0.18610882759094238
width:13.918, height:6.066, time:0.1871180534362793
width:13.918, height:6.058, time:0.1904759407043457
width:13.968, height:6.056, time:0.1914815902709961
width:13.967, height:6.035, time:0.19420623779296875
width:13.967, height:6.041, time:0.19767975807189941
width:13.917, height:6.064, time:0.200425386428833
width:13.917, height:6.066, time:0.20183920860290527
width:13.917, height:6.095, time:0.2047126293182373
width:13.917, height:6.074, time:0.20734214782714844
