width:12.714, height:6.467, time:0.0005238056182861328
width:12.691, height:6.476, time:0.0037293434143066406
width:12.692, height:6.472, time:0.007192850112915039
width:12.692, height:6.483, time:0.00979304313659668
width:12.692, height:6.451, time:0.01295328140258789
width:12.667, height:6.475, time:0.015621662139892578
width:12.667, height:6.476, time:0.017206430435180664
width:12.69, height:6.476, time:0.01987600326538086
width:12.691, height:6.461, time:0.022513389587402344
width:12.691, height:6.463, time:0.02408146858215332
width:12.692, height:6.478, time:0.025126934051513672
width:12.692, height:6.485, time:0.025126934051513672
width:12.718, height:6.475, time:0.02671670913696289
width:12.718, height:6.469, time:0.028313636779785156
width:12.718, height:6.445, time:0.030925750732421875
width:12.717, height:6.465, time:0.03359842300415039
width:12.743, height:6.465, time:0.03518199920654297
width:12.768, height:6.448, time:0.03780841827392578
width:12.768, height:6.45, time:0.03833293914794922
width:12.743, height:6.445, time:0.041469573974609375
width:12.743, height:6.465, time:0.04501986503601074
width:12.743, height:6.474, time:0.046074867248535156
width:12.743, height:6.442, time:0.04875493049621582
width:12.743, height:6.443, time:0.049806833267211914
width:12.744, height:6.439, time:0.052954673767089844
width:12.744, height:6.438, time:0.05557894706726074
width:12.769, height:6.446, time:0.05608367919921875
width:12.744, height:6.463, time:0.05963253974914551
width:12.744, height:6.473, time:0.06129312515258789
width:12.743, height:6.463, time:0.06398534774780273
width:12.744, height:6.45, time:0.06661725044250488
width:12.694, height:6.448, time:0.06766748428344727
width:12.693, height:6.444, time:0.07088065147399902
width:12.694, height:6.444, time:0.0719149112701416
width:12.744, height:6.45, time:0.07453727722167969
width:12.744, height:6.451, time:0.07610869407653809
width:12.743, height:6.452, time:0.07886433601379395
width:12.744, height:6.438, time:0.07937169075012207
width:12.767, height:6.442, time:0.08250212669372559
width:12.767, height:6.439, time:0.08405518531799316
width:12.818, height:6.419, time:0.08663725852966309
width:12.818, height:6.411, time:0.08767175674438477
width:12.843, height:6.409, time:0.09032845497131348
width:12.843, height:6.405, time:0.09232330322265625
width:12.794, height:6.401, time:0.09469389915466309
width:12.82, height:6.441, time:0.09707093238830566
width:12.819, height:6.443, time:0.09916329383850098
width:12.819, height:6.425, time:0.10116982460021973
width:12.82, height:6.379, time:0.10353493690490723
width:12.82, height:6.376, time:0.10353493690490723
width:12.822, height:6.36, time:0.10464215278625488
width:12.82, height:6.418, time:0.10770535469055176
width:12.819, height:6.422, time:0.10871338844299316
width:12.699, height:6.434, time:0.11379075050354004
width:12.701, height:6.428, time:0.1147911548614502
width:12.702, height:6.401, time:0.11679267883300781
