width:12.214, height:6.714, time:0.0
width:12.287, height:6.704, time:0.0
width:12.217, height:6.701, time:0.006653547286987305
width:12.217, height:6.728, time:0.011002063751220703
width:12.217, height:6.734, time:0.01231527328491211
width:12.267, height:6.743, time:0.01493692398071289
width:12.267, height:6.732, time:0.018230438232421875
width:12.242, height:6.73, time:0.0190887451171875
width:12.267, height:6.728, time:0.021914005279541016
width:12.217, height:6.697, time:0.024593353271484375
width:12.191, height:6.693, time:0.026114702224731445
width:12.141, height:6.699, time:0.030874013900756836
width:12.141, height:6.705, time:0.03222942352294922
width:12.141, height:6.689, time:0.034494876861572266
width:12.141, height:6.689, time:0.03650069236755371
width:12.236, height:6.703, time:0.03750109672546387
width:12.287, height:6.708, time:0.03750109672546387
width:12.237, height:6.712, time:0.03850388526916504
width:12.236, height:6.72, time:0.03850388526916504
width:12.266, height:6.725, time:0.04474329948425293
width:12.266, height:6.712, time:0.045809268951416016
width:12.266, height:6.704, time:0.045809268951416016
width:12.237, height:6.695, time:0.05173158645629883
width:12.243, height:6.667, time:0.05273747444152832
width:11.688, height:6.645, time:0.054731130599975586
width:11.689, height:6.65, time:0.05702614784240723
width:11.707, height:6.614, time:0.060064077377319336
width:12.217, height:6.632, time:0.0629265308380127
width:12.217, height:6.649, time:0.06376314163208008
width:12.217, height:6.659, time:0.06551027297973633
width:12.217, height:6.658, time:0.06788921356201172
width:12.217, height:6.656, time:0.06934380531311035
width:12.142, height:6.575, time:0.07201886177062988
width:11.608, height:6.61, time:0.07501959800720215
width:12.117, height:6.575, time:0.07768440246582031
width:12.117, height:6.583, time:0.07883906364440918
width:12.117, height:6.583, time:0.07986640930175781
width:12.116, height:6.651, time:0.08290910720825195
width:12.068, height:6.693, time:0.08567047119140625
width:12.068, height:6.676, time:0.08667993545532227
width:12.069, height:6.649, time:0.08990001678466797
width:11.992, height:6.67, time:0.09280276298522949
width:12.067, height:6.672, time:0.09418630599975586
width:12.0, height:6.668, time:0.09630632400512695
width:12.042, height:6.67, time:0.09931397438049316
width:12.018, height:6.66, time:0.10131359100341797
width:11.991, height:6.647, time:0.10342621803283691
width:12.042, height:6.66, time:0.10442638397216797
width:12.067, height:6.645, time:0.10742497444152832
width:12.017, height:6.67, time:0.11042523384094238
width:12.017, height:6.67, time:0.11142611503601074
width:12.116, height:6.687, time:0.11484265327453613
width:12.043, height:6.687, time:0.11784148216247559
width:12.043, height:6.676, time:0.11927390098571777
width:12.068, height:6.658, time:0.12174701690673828
width:12.068, height:6.658, time:0.12275409698486328
width:12.068, height:6.647, time:0.12375545501708984
width:12.093, height:6.647, time:0.1269679069519043
width:12.068, height:6.647, time:0.12919282913208008
width:12.092, height:6.616, time:0.13254642486572266
width:12.093, height:6.597, time:0.13355517387390137
width:12.093, height:6.597, time:0.1345505714416504
width:12.117, height:6.645, time:0.13745975494384766
width:12.167, height:6.653, time:0.1409900188446045
width:12.243, height:6.64, time:0.14198851585388184
width:12.243, height:6.641, time:0.1429882049560547
width:12.167, height:6.656, time:0.14560317993164062
width:12.167, height:6.647, time:0.1470940113067627
width:12.167, height:6.589, time:0.1501009464263916
width:12.142, height:6.658, time:0.15110039710998535
width:12.142, height:6.701, time:0.1541001796722412
width:12.167, height:6.71, time:0.15510129928588867
width:12.167, height:6.718, time:0.15809988975524902
width:12.167, height:6.726, time:0.15910100936889648
width:12.167, height:6.697, time:0.16179132461547852
width:12.167, height:6.722, time:0.16317009925842285
width:12.167, height:6.724, time:0.16418147087097168
width:12.168, height:6.747, time:0.16655969619750977
width:12.193, height:6.751, time:0.16966962814331055
width:12.193, height:6.732, time:0.17116260528564453
width:12.243, height:6.728, time:0.17417001724243164
width:12.267, height:6.72, time:0.17522358894348145
width:12.217, height:6.726, time:0.17837929725646973
width:12.217, height:6.722, time:0.17837929725646973
width:12.192, height:6.72, time:0.1796865463256836
width:12.192, height:6.701, time:0.18281126022338867
width:12.217, height:6.724, time:0.18529939651489258
width:12.268, height:6.734, time:0.18731260299682617
width:12.268, height:6.732, time:0.18831110000610352
width:12.268, height:6.712, time:0.18931126594543457
width:12.293, height:6.664, time:0.19131159782409668
width:12.293, height:6.668, time:0.1925055980682373
width:12.268, height:6.701, time:0.19451904296875
width:12.268, height:6.714, time:0.19451904296875
width:12.243, height:6.726, time:0.19551920890808105
width:12.268, height:6.714, time:0.1985185146331787
width:12.217, height:6.712, time:0.20151948928833008
width:12.216, height:6.714, time:0.20251798629760742
width:12.191, height:6.72, time:0.2055187225341797
width:12.191, height:6.72, time:0.20662736892700195
width:12.217, height:6.766, time:0.20991134643554688
width:12.217, height:6.778, time:0.21091413497924805
width:12.267, height:6.788, time:0.2144148349761963
width:12.317, height:6.728, time:0.2167046070098877
width:12.317, height:6.728, time:0.2177126407623291
width:12.342, height:6.718, time:0.2213447093963623
width:12.317, height:6.699, time:0.22340917587280273
width:12.292, height:6.689, time:0.22541570663452148
width:12.292, height:6.678, time:0.22741389274597168
width:12.317, height:6.689, time:0.22941994667053223
width:12.316, height:6.653, time:0.2314600944519043
width:12.316, height:6.645, time:0.23511648178100586
width:12.387, height:6.642, time:0.23611855506896973
width:12.368, height:6.649, time:0.23931646347045898
width:12.367, height:6.662, time:0.24172639846801758
width:12.367, height:6.651, time:0.24272799491882324
width:12.393, height:6.668, time:0.24573397636413574
width:12.368, height:6.672, time:0.24872565269470215
width:12.368, height:6.668, time:0.25031304359436035
width:12.368, height:6.651, time:0.2523183822631836
width:12.343, height:6.651, time:0.2534792423248291
width:12.37, height:6.647, time:0.25548624992370605
width:12.37, height:6.674, time:0.25748610496520996
width:12.417, height:6.703, time:0.2594878673553467
width:12.468, height:6.701, time:0.26157140731811523
width:12.417, height:6.701, time:0.2625701427459717
width:12.418, height:6.724, time:0.26600217819213867
width:12.418, height:6.712, time:0.2665064334869385
width:12.467, height:6.683, time:0.27007293701171875
width:12.467, height:6.719, time:0.2707819938659668
width:12.467, height:6.732, time:0.27381014823913574
width:12.467, height:6.739, time:0.2752389907836914
width:12.468, height:6.747, time:0.2777676582336426
width:12.418, height:6.724, time:0.27890753746032715
width:12.443, height:6.689, time:0.28193092346191406
width:12.442, height:6.502, time:0.2840104103088379
width:12.443, height:6.712, time:0.28546690940856934
width:12.468, height:6.73, time:0.2889401912689209
width:12.468, height:6.739, time:0.29033589363098145
width:12.468, height:6.751, time:0.2930600643157959
width:12.443, height:6.77, time:0.2955329418182373
width:12.443, height:6.759, time:0.29653429985046387
width:12.443, height:6.753, time:0.2996244430541992
width:12.468, height:6.745, time:0.30262327194213867
width:12.542, height:6.737, time:0.30362987518310547
width:12.492, height:6.73, time:0.3063960075378418
width:12.568, height:6.723, time:0.30840206146240234
width:12.442, height:6.732, time:0.31139469146728516
width:12.442, height:6.707, time:0.3144040107727051
width:12.492, height:6.697, time:0.3165407180786133
width:12.493, height:6.703, time:0.31953954696655273
width:12.493, height:6.703, time:0.3205392360687256
width:12.493, height:6.672, time:0.3244922161102295
width:12.492, height:6.647, time:0.32729554176330566
width:12.492, height:6.643, time:0.32990026473999023
width:12.492, height:6.651, time:0.3314182758331299
width:12.492, height:6.678, time:0.33417558670043945
width:12.493, height:6.691, time:0.3366127014160156
width:12.566, height:6.681, time:0.33864331245422363
width:12.541, height:6.667, time:0.34113407135009766
width:12.516, height:6.636, time:0.3441469669342041
width:12.393, height:6.614, time:0.34734296798706055
width:12.443, height:6.62, time:0.34734296798706055
width:12.518, height:6.644, time:0.3543417453765869
width:12.443, height:6.649, time:0.35534143447875977
width:12.443, height:6.649, time:0.3563416004180908
width:12.418, height:6.649, time:0.3574185371398926
width:12.418, height:6.666, time:0.3599667549133301
width:12.492, height:6.645, time:0.3614492416381836
width:12.493, height:6.656, time:0.36585354804992676
width:12.518, height:6.656, time:0.3668529987335205
width:12.493, height:6.664, time:0.36985230445861816
width:12.443, height:6.67, time:0.37086963653564453
width:12.441, height:6.502, time:0.3741743564605713
width:12.442, height:6.61, time:0.37682628631591797
width:12.466, height:6.614, time:0.37984299659729004
width:12.466, height:6.61, time:0.3811221122741699
width:12.441, height:6.556, time:0.3842155933380127
width:12.466, height:6.57, time:0.38722991943359375
width:12.466, height:6.57, time:0.38852548599243164
width:12.465, height:6.55, time:0.39105653762817383
width:12.44, height:6.558, time:0.3942735195159912
width:12.39, height:6.57, time:0.39688539505004883
width:12.454, height:6.545, time:0.3979151248931885
width:12.452, height:6.529, time:0.39939188957214355
width:12.416, height:6.55, time:0.40175580978393555
width:12.414, height:6.568, time:0.4027578830718994
width:12.415, height:6.591, time:0.40633177757263184
width:12.513, height:6.642, time:0.4088153839111328
width:12.411, height:6.284, time:0.4098358154296875
width:12.366, height:6.593, time:0.4128377437591553
width:12.393, height:6.597, time:0.4138360023498535
width:12.394, height:6.653, time:0.4169163703918457
width:12.393, height:6.641, time:0.41792774200439453
width:12.341, height:6.622, time:0.42095041275024414
width:12.342, height:6.651, time:0.42409205436706543
width:12.342, height:6.697, time:0.42684221267700195
width:12.342, height:6.695, time:0.42784571647644043
width:12.342, height:6.629, time:0.4308433532714844
width:12.367, height:6.664, time:0.43384337425231934
width:12.367, height:6.66, time:0.4348428249359131
width:12.342, height:6.645, time:0.4368410110473633
width:12.342, height:6.658, time:0.43833494186401367
width:12.367, height:6.67, time:0.44232630729675293
width:12.367, height:6.643, time:0.4463984966278076
width:12.367, height:6.662, time:0.4478418827056885
width:12.367, height:6.699, time:0.45111727714538574
width:12.367, height:6.707, time:0.45162415504455566
width:12.368, height:6.734, time:0.45463132858276367
width:12.367, height:6.739, time:0.4559745788574219
width:12.393, height:6.7, time:0.4595010280609131
width:12.368, height:6.7, time:0.4622793197631836
width:12.368, height:6.715, time:0.46327853202819824
width:12.293, height:6.741, time:0.4662778377532959
width:12.293, height:6.753, time:0.46727633476257324
width:12.293, height:6.73, time:0.46927762031555176
width:12.293, height:6.72, time:0.4706239700317383
width:12.293, height:6.703, time:0.47365474700927734
width:12.293, height:6.699, time:0.4746527671813965
width:12.367, height:6.673, time:0.47733306884765625
width:12.367, height:6.673, time:0.47940754890441895
width:12.367, height:6.665, time:0.48175787925720215
width:12.42, height:6.66, time:0.48276400566101074
width:12.469, height:6.669, time:0.48575735092163086
width:12.469, height:6.671, time:0.48676156997680664
width:12.395, height:6.678, time:0.4900531768798828
width:12.395, height:6.695, time:0.4924790859222412
width:12.395, height:6.697, time:0.49347949028015137
width:12.391, height:6.71, time:0.4969825744628906
width:12.391, height:6.71, time:0.49842047691345215
width:12.342, height:6.724, time:0.500664472579956
width:12.341, height:6.722, time:0.5039610862731934
width:12.342, height:6.726, time:0.5049598217010498
width:12.342, height:6.724, time:0.5059590339660645
width:12.342, height:6.722, time:0.5073745250701904
width:12.391, height:6.72, time:0.5073745250701904
width:12.392, height:6.72, time:0.50838303565979
width:12.369, height:6.697, time:0.5117840766906738
width:12.319, height:6.703, time:0.515092134475708
width:12.319, height:6.73, time:0.5183939933776855
width:12.344, height:6.73, time:0.5193943977355957
width:12.344, height:6.71, time:0.5211162567138672
width:12.344, height:6.66, time:0.5211162567138672
width:12.344, height:6.639, time:0.5236234664916992
width:12.318, height:6.624, time:0.5246338844299316
width:12.369, height:6.614, time:0.5266444683074951
width:12.368, height:6.614, time:0.5266444683074951
