width:12.766, height:6.66, time:0.31584692001342773
width:12.717, height:6.662, time:0.3164360523223877
width:12.691, height:6.66, time:0.3195030689239502
width:12.691, height:6.695, time:0.32249951362609863
width:12.691, height:6.695, time:0.3234996795654297
width:12.691, height:6.655, time:0.3260056972503662
width:12.691, height:6.657, time:0.32901716232299805
width:12.645, height:6.585, time:0.3300149440765381
width:12.666, height:6.67, time:0.3334503173828125
width:12.691, height:6.662, time:0.3351140022277832
width:12.692, height:6.621, time:0.3378729820251465
width:12.692, height:6.645, time:0.34087133407592773
width:12.667, height:6.636, time:0.34307432174682617
width:12.666, height:6.611, time:0.3450920581817627
width:12.666, height:6.625, time:0.34790658950805664
width:12.666, height:6.66, time:0.35079312324523926
width:12.666, height:6.653, time:0.3517889976501465
width:12.666, height:6.631, time:0.35478949546813965
width:12.661, height:6.637, time:0.3577899932861328
width:12.661, height:6.658, time:0.3602306842803955
width:12.661, height:6.668, time:0.36123108863830566
width:12.619, height:6.615, time:0.36423492431640625
width:12.644, height:6.622, time:0.3652307987213135
width:12.618, height:6.616, time:0.368485689163208
width:12.568, height:6.67, time:0.37148618698120117
width:12.568, height:6.676, time:0.372483491897583
width:12.568, height:6.692, time:0.37548351287841797
width:12.568, height:6.696, time:0.37699317932128906
width:12.567, height:6.734, time:0.3789942264556885
width:12.567, height:6.739, time:0.3809933662414551
width:12.618, height:6.693, time:0.38387036323547363
width:12.618, height:6.686, time:0.38492369651794434
width:12.593, height:6.663, time:0.3875696659088135
width:12.593, height:6.666, time:0.39017677307128906
width:12.591, height:6.669, time:0.391188383102417
width:12.593, height:6.663, time:0.39447569847106934
width:12.593, height:6.661, time:0.3956320285797119
width:12.567, height:6.647, time:0.39863085746765137
width:12.566, height:6.667, time:0.40166330337524414
width:12.566, height:6.675, time:0.40166330337524414
width:12.592, height:6.677, time:0.4040534496307373
width:12.592, height:6.685, time:0.4062044620513916
width:12.592, height:6.685, time:0.40723276138305664
width:12.593, height:6.609, time:0.4102320671081543
width:12.593, height:6.593, time:0.41123175621032715
width:12.592, height:6.614, time:0.41423845291137695
width:12.592, height:6.621, time:0.4152374267578125
width:12.618, height:6.67, time:0.4184260368347168
width:12.668, height:6.668, time:0.421431303024292
width:12.668, height:6.663, time:0.42342448234558105
width:12.668, height:6.668, time:0.42342448234558105
width:12.668, height:6.668, time:0.4244272708892822
width:12.668, height:6.679, time:0.4254286289215088
width:12.668, height:6.683, time:0.4283626079559326
width:12.668, height:6.681, time:0.4301586151123047
width:12.668, height:6.685, time:0.4301586151123047
width:12.668, height:6.694, time:0.43216657638549805
width:12.644, height:6.696, time:0.43416404724121094
width:12.569, height:6.691, time:0.4374277591705322
width:12.544, height:6.644, time:0.44043755531311035
width:12.543, height:6.666, time:0.44354987144470215
width:12.568, height:6.68, time:0.4465601444244385
width:12.568, height:6.683, time:0.4478020668029785
width:12.569, height:6.705, time:0.4502289295196533
width:12.568, height:6.687, time:0.45124173164367676
width:12.544, height:6.662, time:0.4523165225982666
width:12.543, height:6.644, time:0.4554622173309326
width:12.543, height:6.653, time:0.4584624767303467
width:12.502, height:6.673, time:0.4615795612335205
width:12.543, height:6.669, time:0.4637637138366699
width:12.502, height:6.669, time:0.4660604000091553
width:12.566, height:6.647, time:0.4689352512359619
width:12.542, height:6.653, time:0.4698195457458496
width:12.564, height:6.624, time:0.47241902351379395
width:12.561, height:6.614, time:0.47402191162109375
width:12.547, height:6.573, time:0.47702884674072266
width:12.543, height:6.619, time:0.47902846336364746
width:12.518, height:6.602, time:0.4810299873352051
width:12.444, height:6.639, time:0.48302769660949707
width:12.443, height:6.647, time:0.48513054847717285
width:12.443, height:6.659, time:0.4875328540802002
width:12.469, height:6.661, time:0.4886655807495117
width:12.393, height:6.678, time:0.49167966842651367
width:12.416, height:6.703, time:0.49467945098876953
width:12.416, height:6.68, time:0.4956789016723633
width:12.444, height:6.704, time:0.49867796897888184
width:12.444, height:6.704, time:0.49987149238586426
width:12.47, height:6.699, time:0.5028836727142334
width:12.445, height:6.655, time:0.5057501792907715
width:12.42, height:6.656, time:0.5067644119262695
width:12.42, height:6.657, time:0.5077643394470215
width:12.444, height:6.662, time:0.5107645988464355
width:12.444, height:6.654, time:0.5117697715759277
width:12.394, height:6.63, time:0.5137686729431152
width:12.369, height:6.63, time:0.516096830368042
width:12.369, height:6.652, time:0.5180966854095459
width:12.394, height:6.644, time:0.5190961360931396
width:12.393, height:6.638, time:0.5228219032287598
width:12.393, height:6.638, time:0.5228219032287598
width:12.368, height:6.639, time:0.5267429351806641
width:12.368, height:6.672, time:0.5267429351806641
width:12.368, height:6.672, time:0.528080940246582
width:12.368, height:6.677, time:0.5292823314666748
width:12.368, height:6.675, time:0.5303871631622314
width:12.393, height:6.677, time:0.5313968658447266
width:12.367, height:6.662, time:0.5343992710113525
width:12.366, height:6.663, time:0.5353987216949463
width:12.366, height:6.645, time:0.5383963584899902
width:12.366, height:6.631, time:0.5413975715637207
width:12.366, height:6.638, time:0.5423972606658936
width:12.366, height:6.668, time:0.5453970432281494
width:12.366, height:6.681, time:0.5486392974853516
width:12.415, height:6.654, time:0.5521664619445801
width:12.362, height:6.607, time:0.5552215576171875
width:12.342, height:6.636, time:0.5590641498565674
width:12.367, height:6.641, time:0.5610740184783936
width:11.354, height:6.642, time:0.5635793209075928
width:11.388, height:6.642, time:0.5666439533233643
width:11.414, height:6.654, time:0.5697972774505615
width:11.388, height:6.652, time:0.570798397064209
width:12.368, height:6.644, time:0.573530912399292
width:12.368, height:6.627, time:0.5764071941375732
width:12.394, height:6.62, time:0.5775179862976074
width:12.393, height:6.627, time:0.5805215835571289
width:12.367, height:6.65, time:0.583209753036499
width:12.391, height:6.651, time:0.5842244625091553
width:12.393, height:6.654, time:0.5872163772583008
width:12.444, height:6.671, time:0.5902144908905029
width:12.444, height:6.671, time:0.5912201404571533
width:12.418, height:6.621, time:0.5943706035614014
width:12.418, height:6.621, time:0.5953707695007324
width:12.444, height:6.591, time:0.5974578857421875
width:12.444, height:6.595, time:0.5974578857421875
width:12.393, height:6.6, time:0.5984611511230469
width:12.437, height:6.662, time:0.6014573574066162
width:12.54, height:6.679, time:0.6047821044921875
width:12.511, height:6.654, time:0.6093010902404785
width:12.511, height:6.619, time:0.6103003025054932
width:12.543, height:6.67, time:0.6133074760437012
width:12.543, height:6.672, time:0.6143078804016113
width:12.543, height:6.675, time:0.6163065433502197
width:12.543, height:6.681, time:0.6163065433502197
width:12.543, height:6.692, time:0.6173086166381836
width:12.568, height:6.71, time:0.6203060150146484
width:12.568, height:6.696, time:0.623873233795166
width:12.568, height:6.694, time:0.6249451637268066
width:12.543, height:6.685, time:0.6277294158935547
width:12.543, height:6.685, time:0.6290152072906494
width:12.568, height:6.685, time:0.6314342021942139
width:12.568, height:6.685, time:0.6344356536865234
width:12.567, height:6.685, time:0.6354360580444336
width:12.56, height:6.693, time:0.6384356021881104
width:12.56, height:6.691, time:0.63962721824646
width:12.584, height:6.662, time:0.6426351070404053
width:12.586, height:6.639, time:0.644035816192627
width:12.637, height:6.627, time:0.6468813419342041
width:12.667, height:6.623, time:0.6494081020355225
width:12.634, height:6.66, time:0.6529321670532227
width:12.634, height:6.66, time:0.6529321670532227
width:12.632, height:6.636, time:0.6567392349243164
width:12.633, height:6.633, time:0.6577439308166504
width:12.663, height:6.602, time:0.6605517864227295
width:12.64, height:6.588, time:0.6620054244995117
