width:24.151, height:6.766, time:0.0030007362365722656
width:24.105, height:6.809, time:0.00646209716796875
width:24.095, height:6.813, time:0.007464170455932617
width:24.113, height:6.832, time:0.010462045669555664
width:24.615, height:6.813, time:0.012969732284545898
width:24.1, height:6.813, time:0.01397705078125
width:24.64, height:6.809, time:0.01597881317138672
width:24.64, height:6.782, time:0.01597881317138672
width:24.127, height:6.782, time:0.016976356506347656
width:24.14, height:6.799, time:0.019977092742919922
width:24.154, height:6.799, time:0.022977352142333984
width:24.155, height:6.797, time:0.024198293685913086
width:24.589, height:6.799, time:0.027613162994384766
width:24.615, height:6.824, time:0.030445575714111328
width:24.615, height:6.817, time:0.031903982162475586
width:24.59, height:6.778, time:0.033959388732910156
width:24.639, height:6.788, time:0.03696036338806152
width:24.59, height:6.809, time:0.03796672821044922
width:24.567, height:6.834, time:0.04096031188964844
width:24.566, height:6.855, time:0.0419614315032959
width:24.617, height:6.846, time:0.04576754570007324
width:24.617, height:6.836, time:0.04778337478637695
width:24.617, height:6.836, time:0.04969954490661621
width:24.567, height:6.828, time:0.05171680450439453
width:24.567, height:6.822, time:0.053719282150268555
width:24.592, height:6.782, time:0.05571603775024414
width:24.641, height:6.801, time:0.05771470069885254
width:24.64, height:6.859, time:0.0607144832611084
width:24.616, height:6.857, time:0.06271576881408691
width:24.616, height:6.859, time:0.06474161148071289
width:24.542, height:6.846, time:0.06794190406799316
width:24.542, height:6.836, time:0.07095217704772949
width:24.542, height:6.759, time:0.07343244552612305
width:24.591, height:6.739, time:0.07445025444030762
width:24.542, height:6.741, time:0.07445025444030762
width:24.541, height:6.736, time:0.0764467716217041
width:24.491, height:6.79, time:0.07945513725280762
width:24.617, height:6.832, time:0.08374714851379395
width:24.618, height:6.84, time:0.08574724197387695
width:24.542, height:6.763, time:0.09032964706420898
width:24.617, height:6.82, time:0.10209321975708008
width:24.641, height:6.795, time:0.10209321975708008
width:24.641, height:6.77, time:0.10209321975708008
width:24.641, height:6.772, time:0.1031031608581543
width:24.615, height:6.838, time:0.10410094261169434
width:24.615, height:6.84, time:0.10410094261169434
