width:14.119, height:5.913, time:0.0
width:14.07, height:5.965, time:0.009927034378051758
width:14.07, height:5.929, time:0.010434150695800781
width:14.045, height:5.955, time:0.010434150695800781
width:14.019, height:5.984, time:0.018633365631103516
width:14.053, height:5.999, time:0.021895647048950195
width:14.055, height:5.895, time:0.022948503494262695
width:14.049, height:5.868, time:0.024531126022338867
width:14.048, height:5.869, time:0.02505660057067871
width:14.071, height:5.858, time:0.02663898468017578
width:14.071, height:5.858, time:0.02663898468017578
width:14.045, height:5.853, time:0.028221845626831055
width:14.07, height:5.928, time:0.03092169761657715
width:14.069, height:5.982, time:0.034067630767822266
width:14.069, height:5.987, time:0.035125732421875
width:14.068, height:5.912, time:0.037766218185424805
width:14.068, height:5.912, time:0.037766218185424805
width:14.042, height:5.897, time:0.037766218185424805
width:14.041, height:5.919, time:0.04690384864807129
width:14.041, height:5.942, time:0.04833412170410156
width:14.012, height:6.004, time:0.049579620361328125
width:14.065, height:6.027, time:0.049579620361328125
width:14.064, height:6.013, time:0.049579620361328125
width:14.118, height:5.941, time:0.06125140190124512
width:14.118, height:5.947, time:0.06275725364685059
width:14.166, height:6.022, time:0.06426787376403809
width:14.167, height:5.99, time:0.06800580024719238
width:14.117, height:5.943, time:0.06800580024719238
width:14.069, height:5.929, time:0.07063531875610352
width:14.118, height:6.007, time:0.07063531875610352
width:14.092, height:6.019, time:0.07864069938659668
width:14.091, height:6.025, time:0.07964730262756348
width:14.095, height:6.004, time:0.07964730262756348
width:14.095, height:6.01, time:0.07964730262756348
width:14.082, height:6.038, time:0.07964730262756348
width:14.221, height:6.041, time:0.08992338180541992
width:14.194, height:6.047, time:0.08992338180541992
width:14.194, height:6.063, time:0.09272313117980957
width:14.146, height:6.054, time:0.09473204612731934
width:14.093, height:6.063, time:0.09473204612731934
width:14.082, height:6.047, time:0.09473204612731934
width:14.12, height:5.995, time:0.09473204612731934
width:14.12, height:6.026, time:0.10549592971801758
width:14.144, height:6.042, time:0.10549592971801758
width:14.094, height:6.068, time:0.11050534248352051
width:14.092, height:6.06, time:0.11173701286315918
width:14.068, height:6.057, time:0.11173701286315918
width:14.018, height:6.065, time:0.11556100845336914
width:14.018, height:6.066, time:0.11556100845336914
width:13.994, height:6.051, time:0.11556100845336914
width:14.069, height:6.044, time:0.11556100845336914
width:14.067, height:5.982, time:0.12470746040344238
width:14.067, height:5.987, time:0.12625575065612793
width:14.021, height:5.961, time:0.1278374195098877
width:14.02, height:5.999, time:0.1278374195098877
width:14.021, height:6.01, time:0.1278374195098877
width:14.021, height:6.02, time:0.1278374195098877
width:14.046, height:5.993, time:0.1278374195098877
width:14.07, height:6.008, time:0.14314866065979004
width:14.045, height:6.031, time:0.14461493492126465
width:14.083, height:6.062, time:0.14777922630310059
width:14.08, height:6.031, time:0.14777922630310059
width:14.02, height:5.984, time:0.14777922630310059
width:13.995, height:5.986, time:0.14777922630310059
width:14.042, height:6.088, time:0.15659546852111816
width:14.066, height:6.053, time:0.15935850143432617
width:14.066, height:6.059, time:0.1614060401916504
width:13.991, height:6.083, time:0.16277098655700684
width:14.017, height:6.086, time:0.16277098655700684
width:14.044, height:6.104, time:0.16277098655700684
width:14.045, height:6.076, time:0.16277098655700684
width:13.994, height:6.097, time:0.17547225952148438
width:13.968, height:6.146, time:0.17547225952148438
width:13.941, height:6.106, time:0.1814870834350586
width:13.966, height:6.098, time:0.18355584144592285
width:13.968, height:6.102, time:0.18355584144592285
width:13.968, height:6.106, time:0.18355584144592285
width:13.968, height:6.124, time:0.18355584144592285
width:13.968, height:6.127, time:0.18938255310058594
width:13.994, height:6.149, time:0.1913440227508545
width:13.968, height:6.088, time:0.1913440227508545
width:13.941, height:6.104, time:0.1913440227508545
width:13.921, height:6.08, time:0.1913440227508545
width:13.871, height:6.048, time:0.1913440227508545
width:13.922, height:6.094, time:0.20660614967346191
width:13.891, height:6.091, time:0.2076103687286377
width:13.942, height:6.151, time:0.2076103687286377
width:13.943, height:6.147, time:0.2076103687286377
width:13.943, height:6.152, time:0.2076103687286377
width:13.943, height:6.088, time:0.22111868858337402
width:13.943, height:6.079, time:0.2235116958618164
width:13.907, height:6.045, time:0.2235116958618164
width:13.87, height:6.017, time:0.2235116958618164
width:13.87, height:6.046, time:0.2235116958618164
width:13.896, height:6.023, time:0.2235116958618164
width:13.921, height:5.921, time:0.2381441593170166
width:13.895, height:5.983, time:0.2381441593170166
width:13.819, height:6.002, time:0.2393941879272461
width:13.819, height:6.038, time:0.2393941879272461
width:13.894, height:6.089, time:0.2393941879272461
width:13.919, height:6.055, time:0.2393941879272461
width:13.919, height:6.092, time:0.2393941879272461
width:13.869, height:6.083, time:0.2529025077819824
width:13.894, height:6.036, time:0.2529025077819824
width:13.869, height:6.053, time:0.2584080696105957
width:13.869, height:6.072, time:0.26079416275024414
width:13.868, height:6.01, time:0.26079416275024414
width:13.868, height:6.106, time:0.26079416275024414
width:13.941, height:6.051, time:0.26995229721069336
width:13.917, height:6.036, time:0.27214598655700684
width:13.941, height:6.016, time:0.27214598655700684
width:13.944, height:6.079, time:0.27569580078125
width:13.967, height:6.089, time:0.2797231674194336
width:13.942, height:6.089, time:0.2797231674194336
width:13.941, height:6.052, time:0.2858717441558838
width:13.917, height:6.028, time:0.2898728847503662
width:13.942, height:6.028, time:0.2898728847503662
width:13.918, height:6.053, time:0.2898728847503662
width:13.889, height:6.062, time:0.2954978942871094
width:13.889, height:6.064, time:0.2983827590942383
width:13.914, height:6.078, time:0.3006327152252197
width:13.916, height:6.067, time:0.301802396774292
width:13.894, height:6.05, time:0.30562329292297363
width:13.894, height:6.046, time:0.3098771572113037
width:13.894, height:6.044, time:0.3098771572113037
width:13.919, height:6.067, time:0.31299853324890137
width:13.945, height:6.101, time:0.3166177272796631
width:13.971, height:6.09, time:0.3178863525390625
width:13.97, height:6.093, time:0.3178863525390625
