width:13.904, height:6.319, time:0.002889871597290039
width:13.899, height:6.306, time:0.005494832992553711
width:13.897, height:6.283, time:0.008110523223876953
width:13.95, height:6.282, time:0.009335517883300781
width:13.949, height:6.294, time:0.012343645095825195
width:13.919, height:6.324, time:0.015470266342163086
width:13.901, height:6.283, time:0.017868995666503906
width:13.868, height:6.31, time:0.021319866180419922
width:13.843, height:6.313, time:0.026398181915283203
width:13.868, height:6.321, time:0.02959752082824707
width:13.869, height:6.292, time:0.02959752082824707
width:13.869, height:6.281, time:0.033061981201171875
width:13.869, height:6.28, time:0.035066843032836914
width:13.872, height:6.255, time:0.035066843032836914
width:13.847, height:6.25, time:0.03670668601989746
width:13.839, height:6.268, time:0.0388646125793457
width:13.881, height:6.278, time:0.04031014442443848
width:13.891, height:6.303, time:0.04257464408874512
width:13.915, height:6.315, time:0.045954227447509766
width:13.89, height:6.308, time:0.04695701599121094
width:13.882, height:6.261, time:0.04976916313171387
width:13.871, height:6.234, time:0.05077695846557617
width:13.871, height:6.244, time:0.0539402961730957
width:13.871, height:6.239, time:0.05494093894958496
width:13.794, height:6.244, time:0.05860710144042969
width:13.819, height:6.312, time:0.060838937759399414
width:13.819, height:6.325, time:0.0618443489074707
width:13.793, height:6.313, time:0.06503844261169434
width:13.793, height:6.31, time:0.0681314468383789
width:13.793, height:6.306, time:0.06913948059082031
width:13.818, height:6.251, time:0.07213163375854492
width:13.794, height:6.181, time:0.07326483726501465
width:13.744, height:6.203, time:0.07641816139221191
width:13.744, height:6.223, time:0.07957577705383301
width:13.744, height:6.225, time:0.08057713508605957
width:13.718, height:6.229, time:0.08357739448547363
width:13.718, height:6.234, time:0.08357739448547363
width:13.718, height:6.242, time:0.0874168872833252
width:13.744, height:6.262, time:0.09242987632751465
width:13.692, height:6.269, time:0.09511733055114746
width:13.718, height:6.271, time:0.0963280200958252
width:13.715, height:6.287, time:0.10136032104492188
width:13.714, height:6.267, time:0.10236430168151855
width:13.671, height:6.228, time:0.10535931587219238
width:13.659, height:6.306, time:0.11075377464294434
width:13.632, height:6.294, time:0.12005043029785156
width:13.613, height:6.33, time:0.12005043029785156
width:13.615, height:6.326, time:0.12239241600036621
width:13.59, height:6.298, time:0.12757253646850586
width:13.567, height:6.335, time:0.13257145881652832
width:13.567, height:6.335, time:0.13357234001159668
width:13.542, height:6.311, time:0.13657116889953613
width:13.542, height:6.299, time:0.1395726203918457
width:13.542, height:6.322, time:0.14157819747924805
width:13.542, height:6.32, time:0.14307618141174316
width:13.542, height:6.307, time:0.14630603790283203
width:13.517, height:6.296, time:0.14931416511535645
width:13.516, height:6.323, time:0.1517047882080078
width:13.491, height:6.323, time:0.15375494956970215
width:13.491, height:6.328, time:0.15639543533325195
width:13.491, height:6.326, time:0.15639543533325195
width:13.492, height:6.314, time:0.15997767448425293
width:13.492, height:6.295, time:0.1630244255065918
width:13.492, height:6.293, time:0.16402697563171387
width:13.492, height:6.299, time:0.16704702377319336
width:13.492, height:6.299, time:0.16805124282836914
width:13.492, height:6.291, time:0.1712656021118164
width:13.465, height:6.268, time:0.17439508438110352
width:13.464, height:6.278, time:0.17540693283081055
width:13.419, height:6.272, time:0.17840242385864258
width:13.419, height:6.274, time:0.17940497398376465
width:13.444, height:6.298, time:0.1824030876159668
width:13.444, height:6.297, time:0.18540525436401367
width:13.444, height:6.293, time:0.18540525436401367
width:13.47, height:6.275, time:0.18938279151916504
width:13.444, height:6.291, time:0.1908245086669922
width:13.445, height:6.293, time:0.19308757781982422
width:13.47, height:6.301, time:0.19609832763671875
width:13.444, height:6.302, time:0.19710755348205566
width:13.444, height:6.306, time:0.20009827613830566
width:13.469, height:6.325, time:0.20110297203063965
