width:24.593, height:7.282, time:0.0048182010650634766
width:24.64, height:7.291, time:0.00673675537109375
width:24.614, height:7.294, time:0.009575843811035156
width:24.638, height:7.3, time:0.013268232345581055
width:24.638, height:7.289, time:0.014758110046386719
width:24.542, height:7.272, time:0.017664194107055664
width:24.542, height:7.28, time:0.018744945526123047
width:24.541, height:7.289, time:0.02025628089904785
width:24.541, height:7.303, time:0.02423834800720215
width:24.541, height:7.295, time:0.025777578353881836
width:24.541, height:7.291, time:0.02678203582763672
width:24.541, height:7.286, time:0.029881000518798828
width:24.591, height:7.297, time:0.03096604347229004
width:24.591, height:7.299, time:0.03415536880493164
width:24.639, height:7.299, time:0.038161516189575195
width:24.639, height:7.31, time:0.038161516189575195
width:24.595, height:7.256, time:0.043659210205078125
width:24.59, height:7.259, time:0.045946359634399414
width:24.59, height:7.253, time:0.051087141036987305
width:24.59, height:7.239, time:0.051087141036987305
width:24.589, height:7.239, time:0.05304694175720215
width:24.588, height:7.258, time:0.05423331260681152
width:24.612, height:7.256, time:0.058756113052368164
width:24.586, height:7.26, time:0.06009697914123535
width:24.586, height:7.254, time:0.06299376487731934
width:24.485, height:7.104, time:0.0677030086517334
width:24.563, height:7.164, time:0.07020998001098633
width:24.549, height:7.134, time:0.0716099739074707
width:24.548, height:7.154, time:0.0716099739074707
width:24.54, height:7.206, time:0.0716099739074707
width:24.54, height:7.211, time:0.0716099739074707
width:24.516, height:7.194, time:0.08439445495605469
width:24.554, height:7.236, time:0.08708715438842773
width:24.554, height:7.253, time:0.08820962905883789
width:24.555, height:7.256, time:0.09124231338500977
width:24.554, height:7.243, time:0.09566307067871094
width:24.562, height:7.208, time:0.09740710258483887
width:24.586, height:7.233, time:0.10117173194885254
width:24.516, height:7.259, time:0.10364198684692383
width:24.567, height:7.239, time:0.1061866283416748
width:24.618, height:7.249, time:0.10920000076293945
width:24.643, height:7.23, time:0.11219167709350586
width:24.618, height:7.241, time:0.11507105827331543
width:24.667, height:7.241, time:0.11808300018310547
width:24.567, height:7.266, time:0.12136983871459961
width:24.664, height:7.233, time:0.12584209442138672
width:24.649, height:7.21, time:0.12735438346862793
width:24.648, height:7.211, time:0.12735438346862793
width:24.643, height:7.272, time:0.13379788398742676
width:24.642, height:7.262, time:0.1354827880859375
width:24.569, height:7.297, time:0.14032363891601562
width:24.617, height:7.301, time:0.14175176620483398
width:24.666, height:7.282, time:0.14306020736694336
width:24.666, height:7.282, time:0.14586114883422852
width:24.641, height:7.269, time:0.14713001251220703
width:24.614, height:7.277, time:0.15064549446105957
width:24.613, height:7.282, time:0.15348148345947266
width:24.658, height:7.28, time:0.1560657024383545
width:24.64, height:7.241, time:0.1589066982269287
width:24.569, height:7.253, time:0.16024351119995117
width:24.568, height:7.259, time:0.1630549430847168
width:24.543, height:7.262, time:0.1676616668701172
width:24.569, height:7.262, time:0.1694774627685547
width:24.543, height:7.262, time:0.1740124225616455
width:24.543, height:7.255, time:0.17527055740356445
width:24.543, height:7.27, time:0.17734050750732422
width:24.57, height:7.286, time:0.18027544021606445
width:24.595, height:7.276, time:0.1843712329864502
width:24.543, height:7.264, time:0.18787264823913574
width:24.35, height:7.27, time:0.1902480125427246
width:24.35, height:7.253, time:0.1929302215576172
width:24.376, height:7.232, time:0.1941995620727539
width:24.325, height:7.257, time:0.19832515716552734
width:24.276, height:7.262, time:0.1999506950378418
width:24.301, height:7.313, time:0.20339512825012207
width:24.348, height:7.334, time:0.206038236618042
width:24.349, height:7.322, time:0.20893549919128418
width:24.302, height:7.264, time:0.21019554138183594
width:24.397, height:7.253, time:0.21430230140686035
width:24.397, height:7.245, time:0.21595025062561035
width:24.486, height:7.259, time:0.21831512451171875
width:24.584, height:7.271, time:0.219681978225708
width:24.583, height:7.267, time:0.219681978225708
width:24.459, height:7.241, time:0.22427701950073242
width:24.411, height:7.241, time:0.22678732872009277
width:24.386, height:7.239, time:0.22902941703796387
width:24.436, height:7.28, time:0.23024249076843262
width:24.387, height:7.289, time:0.23378562927246094
width:24.348, height:7.318, time:0.23661231994628906
width:24.348, height:7.305, time:0.23784613609313965
width:24.298, height:7.232, time:0.2391376495361328
width:24.299, height:7.249, time:0.24195170402526855
width:24.299, height:7.255, time:0.24195170402526855
width:24.273, height:7.276, time:0.2462174892425537
width:24.272, height:7.274, time:0.24904203414916992
width:24.372, height:7.326, time:0.2529313564300537
width:24.323, height:7.326, time:0.2563464641571045
width:24.411, height:7.32, time:0.257901668548584
width:24.412, height:7.305, time:0.2592275142669678
width:24.412, height:7.305, time:0.2592275142669678
width:24.322, height:7.28, time:0.261843204498291
width:24.391, height:7.293, time:0.26406407356262207
width:24.391, height:7.305, time:0.26694774627685547
width:24.491, height:7.282, time:0.2697465419769287
width:24.517, height:7.309, time:0.279616117477417
width:24.492, height:7.286, time:0.279616117477417
width:24.492, height:7.291, time:0.28327512741088867
width:24.492, height:7.282, time:0.28327512741088867
width:24.492, height:7.278, time:0.2846989631652832
width:24.492, height:7.293, time:0.28721117973327637
width:24.492, height:7.305, time:0.2911651134490967
width:24.492, height:7.318, time:0.2931973934173584
width:24.542, height:7.32, time:0.29589223861694336
width:24.541, height:7.295, time:0.2971932888031006
