width:15.9, height:5.477, time:0.3490562438964844
width:15.856, height:5.477, time:0.3490562438964844
width:15.857, height:5.475, time:0.35111522674560547
width:15.883, height:5.446, time:0.35111522674560547
width:15.884, height:5.442, time:0.3524198532104492
width:15.883, height:5.445, time:0.35414648056030273
width:15.885, height:5.438, time:0.35414648056030273
width:15.888, height:5.419, time:0.3552558422088623
width:15.889, height:5.408, time:0.3572652339935303
width:15.844, height:5.366, time:0.3572652339935303
width:15.84, height:5.412, time:0.35850024223327637
width:15.816, height:5.401, time:0.36177897453308105
width:15.815, height:5.405, time:0.36296629905700684
width:15.791, height:5.403, time:0.36296629905700684
width:15.79, height:5.399, time:0.3641059398651123
width:15.766, height:5.383, time:0.36562538146972656
width:15.818, height:5.391, time:0.36891722679138184
width:15.793, height:5.381, time:0.3714451789855957
width:15.811, height:5.394, time:0.3744676113128662
width:15.767, height:5.359, time:0.37734556198120117
width:15.767, height:5.348, time:0.3783607482910156
width:15.766, height:5.32, time:0.381136417388916
width:15.766, height:5.334, time:0.384141206741333
width:15.766, height:5.337, time:0.3851432800292969
width:15.743, height:5.327, time:0.3881409168243408
width:15.743, height:5.33, time:0.3891453742980957
width:15.793, height:5.387, time:0.39214110374450684
width:15.793, height:5.397, time:0.3951430320739746
width:15.818, height:5.409, time:0.39687657356262207
width:15.818, height:5.429, time:0.39915895462036133
width:15.818, height:5.384, time:0.40015602111816406
width:15.841, height:5.343, time:0.40315675735473633
width:15.866, height:5.349, time:0.4061591625213623
width:15.865, height:5.337, time:0.40715670585632324
width:15.842, height:5.385, time:0.4101581573486328
width:15.842, height:5.385, time:0.4111604690551758
width:15.893, height:5.371, time:0.41423511505126953
width:15.917, height:5.39, time:0.417255163192749
width:15.915, height:5.394, time:0.4182558059692383
width:15.915, height:5.378, time:0.42125558853149414
width:15.915, height:5.378, time:0.4242544174194336
width:15.915, height:5.378, time:0.42525744438171387
width:15.916, height:5.383, time:0.4282548427581787
width:15.916, height:5.353, time:0.43125319480895996
width:15.916, height:5.355, time:0.43285465240478516
width:15.992, height:5.415, time:0.437725305557251
width:15.918, height:5.413, time:0.44072532653808594
width:15.893, height:5.453, time:0.4438338279724121
width:15.918, height:5.468, time:0.44484543800354004
width:15.994, height:5.482, time:0.44924259185791016
width:15.994, height:5.478, time:0.4502418041229248
width:15.994, height:5.472, time:0.4502418041229248
width:15.994, height:5.464, time:0.4526851177215576
width:15.994, height:5.442, time:0.45406651496887207
width:15.994, height:5.433, time:0.4545755386352539
width:15.994, height:5.42, time:0.4555790424346924
width:15.943, height:5.441, time:0.45858001708984375
width:15.994, height:5.414, time:0.4609367847442627
width:15.968, height:5.42, time:0.46442675590515137
width:15.942, height:5.377, time:0.4677579402923584
width:15.917, height:5.412, time:0.47075772285461426
width:15.942, height:5.463, time:0.4737577438354492
width:15.967, height:5.408, time:0.47876477241516113
width:15.966, height:5.435, time:0.48169541358947754
width:15.994, height:5.44, time:0.4846978187561035
width:15.994, height:5.446, time:0.48569822311401367
width:15.966, height:5.468, time:0.49027180671691895
width:15.966, height:5.482, time:0.49127674102783203
width:15.941, height:5.45, time:0.4968867301940918
width:15.89, height:5.447, time:0.4993767738342285
width:15.965, height:5.415, time:0.5023787021636963
width:15.94, height:5.421, time:0.5053763389587402
width:15.916, height:5.459, time:0.5083773136138916
width:15.917, height:5.447, time:0.5113849639892578
width:15.916, height:5.434, time:0.5149757862091064
width:15.942, height:5.352, time:0.5169909000396729
width:15.942, height:5.35, time:0.5179898738861084
width:15.919, height:5.394, time:0.5211203098297119
width:15.943, height:5.435, time:0.5234036445617676
width:15.943, height:5.439, time:0.5234036445617676
width:15.968, height:5.395, time:0.5264039039611816
width:15.942, height:5.39, time:0.5274045467376709
width:15.917, height:5.413, time:0.5324051380157471
width:15.917, height:5.412, time:0.5340151786804199
width:15.893, height:5.291, time:0.5364971160888672
width:15.893, height:5.318, time:0.5396637916564941
width:15.894, height:5.326, time:0.5408182144165039
width:15.969, height:5.378, time:0.5434422492980957
width:15.867, height:5.347, time:0.5459158420562744
width:15.867, height:5.376, time:0.54799485206604
width:15.943, height:5.344, time:0.5505266189575195
width:15.943, height:5.316, time:0.5537700653076172
width:15.969, height:5.314, time:0.5547304153442383
width:16.018, height:5.316, time:0.5572543144226074
width:16.043, height:5.355, time:0.5602540969848633
width:15.994, height:5.366, time:0.5632562637329102
width:15.943, height:5.335, time:0.5662546157836914
width:15.944, height:5.364, time:0.5700149536132812
