width:16.984, height:5.011, time:0.0009965896606445312
width:17.008, height:5.011, time:0.0019969940185546875
width:17.009, height:5.019, time:0.012408733367919922
width:17.032, height:5.028, time:0.013409614562988281
width:17.021, height:5.029, time:0.013409614562988281
width:17.019, height:5.075, time:0.013409614562988281
width:16.993, height:5.088, time:0.013409614562988281
width:16.994, height:5.068, time:0.01477503776550293
width:16.944, height:5.126, time:0.015788555145263672
width:16.933, height:5.131, time:0.016791343688964844
width:16.845, height:5.054, time:0.020201921463012695
width:16.766, height:5.049, time:0.023201465606689453
width:16.741, height:5.05, time:0.026201248168945312
width:16.695, height:5.083, time:0.028202056884765625
width:16.694, height:5.081, time:0.030203580856323242
width:16.641, height:5.059, time:0.03220415115356445
width:16.619, height:5.028, time:0.033204078674316406
width:16.592, height:5.027, time:0.037442922592163086
width:16.617, height:5.058, time:0.04044365882873535
width:16.617, height:5.109, time:0.04244422912597656
width:16.567, height:5.105, time:0.04613018035888672
width:16.592, height:5.124, time:0.04913187026977539
width:16.592, height:5.096, time:0.05212974548339844
width:16.591, height:5.091, time:0.05312967300415039
width:16.592, height:5.092, time:0.05608487129211426
width:16.567, height:5.091, time:0.059092044830322266
width:16.592, height:5.073, time:0.062113285064697266
width:16.592, height:5.073, time:0.06316184997558594
width:16.542, height:5.094, time:0.0657811164855957
width:16.542, height:5.133, time:0.0686652660369873
width:16.492, height:5.101, time:0.07012629508972168
width:16.493, height:5.145, time:0.07248044013977051
width:16.493, height:5.132, time:0.07349252700805664
width:16.493, height:5.105, time:0.07648992538452148
width:16.469, height:5.149, time:0.08007168769836426
width:16.469, height:5.155, time:0.08117556571960449
width:16.442, height:5.099, time:0.08362698554992676
width:16.442, height:5.089, time:0.08466434478759766
width:16.442, height:5.077, time:0.08693599700927734
width:16.417, height:5.026, time:0.09069132804870605
width:16.416, height:5.024, time:0.09215116500854492
width:16.416, height:5.04, time:0.09477829933166504
width:16.416, height:5.044, time:0.09778857231140137
width:16.416, height:5.043, time:0.09962129592895508
width:16.416, height:5.02, time:0.10397624969482422
width:16.391, height:4.995, time:0.1067345142364502
width:16.391, height:5.015, time:0.10974335670471191
width:16.417, height:5.094, time:0.11276865005493164
width:16.443, height:5.094, time:0.11477899551391602
width:16.442, height:5.094, time:0.11477899551391602
width:16.392, height:5.091, time:0.11587119102478027
width:16.342, height:5.083, time:0.11887788772583008
width:16.342, height:5.087, time:0.11987948417663574
width:16.341, height:5.082, time:0.1208791732788086
width:16.317, height:5.062, time:0.12188029289245605
width:16.292, height:5.077, time:0.12491631507873535
width:16.316, height:5.085, time:0.1279306411743164
width:16.292, height:5.065, time:0.1311190128326416
width:16.267, height:5.102, time:0.133742094039917
width:16.267, height:5.098, time:0.13685345649719238
width:16.267, height:5.139, time:0.14019227027893066
width:16.294, height:5.157, time:0.1428687572479248
width:16.244, height:5.148, time:0.14626479148864746
width:16.268, height:5.145, time:0.14838790893554688
width:16.268, height:5.129, time:0.1513967514038086
width:16.219, height:5.126, time:0.15439367294311523
width:16.218, height:5.113, time:0.1573951244354248
width:16.176, height:5.081, time:0.16039323806762695
width:16.218, height:5.082, time:0.16255998611450195
width:16.268, height:5.048, time:0.16714072227478027
width:16.27, height:5.049, time:0.17015361785888672
width:16.245, height:5.042, time:0.17114925384521484
width:16.14, height:5.044, time:0.173567533493042
width:16.117, height:4.931, time:0.17656731605529785
width:16.092, height:5.064, time:0.17992329597473145
width:16.118, height:5.087, time:0.18291878700256348
width:16.118, height:5.085, time:0.18593406677246094
width:16.094, height:5.097, time:0.1889338493347168
width:16.093, height:5.106, time:0.18993520736694336
width:16.117, height:5.098, time:0.19294285774230957
width:16.092, height:5.081, time:0.19644403457641602
width:16.142, height:5.085, time:0.19933342933654785
width:16.142, height:5.076, time:0.20172882080078125
width:16.143, height:5.077, time:0.20473003387451172
width:16.093, height:5.03, time:0.20772933959960938
width:16.119, height:5.026, time:0.20873427391052246
width:16.091, height:5.032, time:0.21185541152954102
width:16.067, height:5.063, time:0.21714258193969727
width:16.045, height:5.052, time:0.21814346313476562
width:16.045, height:5.06, time:0.2211453914642334
width:16.017, height:5.06, time:0.22214365005493164
width:16.016, height:5.056, time:0.2231428623199463
width:15.994, height:5.036, time:0.2231428623199463
width:15.994, height:5.027, time:0.22529935836791992
width:15.991, height:5.015, time:0.22641921043395996
width:16.016, height:5.042, time:0.22641921043395996
width:16.016, height:5.066, time:0.22941899299621582
width:16.016, height:5.057, time:0.2331678867340088
width:16.016, height:5.067, time:0.23418736457824707
width:16.057, height:5.052, time:0.23718810081481934
width:16.015, height:5.037, time:0.23918700218200684
width:16.015, height:5.054, time:0.24118876457214355
width:16.04, height:5.089, time:0.24418878555297852
width:16.014, height:5.087, time:0.24718737602233887
width:16.014, height:5.058, time:0.2521946430206299
width:15.989, height:5.093, time:0.2544269561767578
width:15.989, height:5.093, time:0.25545787811279297
width:16.018, height:5.109, time:0.2588918209075928
width:16.018, height:5.104, time:0.2617645263671875
width:16.018, height:5.106, time:0.26277875900268555
width:15.967, height:5.049, time:0.26816487312316895
width:15.966, height:5.052, time:0.26918768882751465
width:15.942, height:5.141, time:0.2721860408782959
width:15.967, height:5.108, time:0.2747340202331543
width:15.942, height:5.096, time:0.27573204040527344
width:15.942, height:5.082, time:0.278733491897583
width:15.942, height:5.081, time:0.27973341941833496
width:15.968, height:5.073, time:0.2827334403991699
width:15.969, height:5.047, time:0.28569626808166504
width:15.968, height:5.052, time:0.2866978645324707
width:15.967, height:5.058, time:0.2899632453918457
width:15.866, height:5.035, time:0.29296374320983887
width:15.866, height:5.051, time:0.29396843910217285
width:15.866, height:5.06, time:0.2969639301300049
width:15.844, height:5.072, time:0.29796552658081055
width:15.892, height:5.058, time:0.3009636402130127
width:15.893, height:5.05, time:0.3042609691619873
width:15.893, height:5.062, time:0.30526137351989746
width:15.893, height:5.064, time:0.30817389488220215
width:15.893, height:5.062, time:0.30924034118652344
width:15.943, height:5.064, time:0.31049251556396484
width:15.917, height:5.067, time:0.31049251556396484
width:15.917, height:5.067, time:0.3118014335632324
width:15.916, height:5.073, time:0.31643223762512207
width:15.91, height:5.035, time:0.31865453720092773
width:15.915, height:5.002, time:0.31865453720092773
width:15.922, height:5.024, time:0.3197767734527588
width:15.895, height:5.003, time:0.3207869529724121
width:15.885, height:5.035, time:0.3241302967071533
width:15.885, height:5.042, time:0.3241302967071533
width:15.886, height:5.056, time:0.3262927532196045
width:15.81, height:5.046, time:0.32895660400390625
width:15.81, height:5.041, time:0.3299579620361328
width:15.802, height:5.036, time:0.33095622062683105
width:15.791, height:5.077, time:0.331956148147583
width:15.809, height:5.068, time:0.33506274223327637
width:15.791, height:5.026, time:0.3380734920501709
width:15.766, height:5.06, time:0.3400743007659912
width:15.744, height:5.078, time:0.347898006439209
width:15.741, height:5.083, time:0.35289835929870605
width:15.715, height:5.064, time:0.3558990955352783
width:15.716, height:5.037, time:0.358898401260376
width:15.716, height:5.039, time:0.35989952087402344
width:15.692, height:5.042, time:0.3609018325805664
width:15.717, height:5.064, time:0.36190104484558105
width:15.717, height:5.062, time:0.36290979385375977
width:15.718, height:4.993, time:0.364898681640625
width:15.717, height:5.022, time:0.36735033988952637
width:15.692, height:5.069, time:0.3723585605621338
width:15.692, height:5.067, time:0.37343764305114746
width:15.692, height:5.041, time:0.3753812313079834
width:15.692, height:5.085, time:0.37838315963745117
width:15.692, height:5.085, time:0.3793821334838867
width:15.642, height:5.033, time:0.38274312019348145
width:15.642, height:5.025, time:0.384249210357666
width:15.642, height:5.031, time:0.38725805282592773
width:15.692, height:5.062, time:0.3892555236816406
