16.185,6.992,0
16.185,7,0.001065731
16.211,6.954,0.004147291
16.184,6.973,0.006164789
16.235,6.986,0.008161783
16.285,7.004,0.010969162
16.338,7.033,0.013740063
16.363,7.035,0.014738321
16.363,7.021,0.01573801
16.439,6.994,0.018741608
16.464,6.979,0.021738291
16.49,6.986,0.022973061
16.54,7.019,0.02538228
16.54,7.021,0.026807785
16.564,7.023,0.028011084
16.614,7.015,0.03062129
16.614,7.023,0.032073259
16.714,7.027,0.034587145
16.739,7.019,0.035690784
16.789,7.025,0.038719893
16.789,7.035,0.040052176
16.789,7.042,0.042946339
16.789,7.044,0.044002295
16.789,7.033,0.046636343
16.839,7.031,0.049787521
16.864,7.054,0.05107379
16.89,7.075,0.053490639
16.916,7.05,0.054899931
16.916,7.033,0.055908442
16.916,7.029,0.055908442
16.891,7.089,0.056908607
16.966,7.077,0.06063652
17.041,7.11,0.063663006
17.04,7.098,0.06654191
17.065,7.1,0.069651842
17.141,7.106,0.072848082
17.193,7.106,0.074260473
17.193,7.104,0.076632261
17.166,7.116,0.0797925
17.165,7.12,0.080793381
17.166,7.135,0.083792448
17.192,7.106,0.08605504
17.243,7.085,0.089477539
17.268,7.085,0.090486288
17.293,7.108,0.094065905
17.318,7.125,0.096070528
17.343,7.129,0.098118782
17.343,7.143,0.100495577
17.393,7.145,0.101950407
17.393,7.141,0.103183985
17.418,7.139,0.103183985
17.418,7.139,0.104278564
17.393,7.129,0.107577562
17.418,7.127,0.108813047
17.467,7.12,0.11164856
17.417,7.125,0.11503315
17.417,7.137,0.115714788
17.467,7.033,0.120722055
17.543,7.1,0.123728514
17.543,7.11,0.124728441
17.493,7.137,0.12773037
17.493,7.133,0.128729582
17.543,7.137,0.131623983
17.543,7.137,0.133030415
17.543,7.135,0.134243488
17.543,7.123,0.134243488
17.543,7.123,0.135778427
17.568,7.129,0.138299465
17.568,7.127,0.139300823
17.568,7.12,0.142300367
17.568,7.1,0.14429903
17.568,7.139,0.146298409
17.593,7.093,0.149442434
17.617,7.093,0.150460958
17.617,7.081,0.153461695
17.617,7.075,0.154507399
17.642,7.11,0.157673597
17.692,7.106,0.158917189
17.642,7.079,0.161934853
17.642,7.081,0.163212776
17.667,7.093,0.166305065
17.718,7.106,0.168651342
17.718,7.087,0.169662476
17.743,7.075,0.172720194
17.743,7.079,0.17373395
17.743,7.11,0.176734686
17.768,7.096,0.179732561
17.768,7.102,0.181118011
17.742,7.093,0.184245825
17.742,7.114,0.187102318
17.742,7.12,0.1898911
17.767,7.131,0.190891504
17.767,7.158,0.193890095
17.792,7.164,0.194889545
17.793,7.127,0.197889805
17.818,7.127,0.198890448
17.817,7.123,0.201894045
17.817,7.123,0.205228806
17.867,7.106,0.207729101
17.867,7.133,0.211023331
17.867,7.147,0.212029934
17.892,7.164,0.21466136
17.452,7.131,0.218063593
17.967,7.116,0.219076633
17.917,7.147,0.221942425
17.918,7.145,0.223947287
17.943,7.168,0.225949764
17.943,7.172,0.22706461
17.917,7.174,0.229154348
17.917,7.172,0.231263876
17.967,7.197,0.23368001
17.967,7.206,0.234681129
18.043,7.185,0.237902403
18.069,7.185,0.239166975
18.018,7.187,0.241396427
18.017,7.176,0.242402554
18.017,7.172,0.245409727
18.017,7.168,0.248661757
18.017,7.156,0.249661207
18.067,7.162,0.252487898
18.092,7.164,0.25350666
18.116,7.203,0.257151365
18.116,7.216,0.257781982
18.116,7.218,0.260353327
18.143,7.187,0.263351917
18.169,7.181,0.265354633
18.22,7.197,0.270352602
18.269,7.21,0.27235198
18.392,7.185,0.278228283
18.441,7.139,0.280246973
18.491,7.166,0.281249762
18.517,7.141,0.28424859
18.565,7.081,0.287247896
18.59,7.093,0.289355516
18.667,7.147,0.298580885
18.642,7.152,0.298580885
18.692,7.181,0.299612522
18.692,7.181,0.299612522
18.742,7.174,0.300606728
18.742,7.158,0.301606417
18.692,7.158,0.302630186
18.691,7.158,0.304870367
18.691,7.164,0.304870367
18.767,7.168,0.305949688
18.742,7.176,0.309441328
18.792,7.189,0.311906338
18.817,7.179,0.314651489
18.817,7.172,0.316094398
18.842,7.127,0.318207741
18.867,7.106,0.32144022
18.867,7.106,0.322447777
18.942,7.129,0.325757742
19.017,7.135,0.328554392
19.067,7.129,0.330008268
19.067,7.125,0.331284523
19.092,7.11,0.333809376
19.091,7.11,0.334810257
19.091,7.127,0.337677479
19.116,7.125,0.339017153
19.166,7.118,0.342024565
19.216,7.114,0.343025446
19.242,7.125,0.346024513
19.241,7.114,0.34732008
19.291,7.114,0.347959757
19.267,7.135,0.347959757
19.266,7.137,0.349162579
19.316,7.106,0.352612257
19.316,7.108,0.353858948
19.341,7.091,0.356870174
19.341,7.093,0.357869864
19.366,7.096,0.35986805
19.366,7.1,0.362155676
19.366,7.096,0.365156651
19.366,7.11,0.36716032
19.366,7.112,0.369180441
19.366,7.104,0.371912241
19.366,7.108,0.372913122
19.416,7.085,0.375910997
19.466,7.093,0.378909588
19.465,7.098,0.379910946
19.466,7.106,0.380909443
19.466,7.112,0.380909443
19.466,7.11,0.382910252
19.441,7.079,0.385910034
19.442,7.106,0.386909485
19.467,7.083,0.389383554
19.492,7.096,0.391384602
19.492,7.089,0.391384602
19.467,7.089,0.392387152
19.467,7.073,0.394383907
19.416,7.075,0.394383907
19.416,7.098,0.395385742
19.441,7.091,0.396383524
19.441,7.066,0.399782896
19.44,7.096,0.40478301
19.442,7.098,0.405783415
19.417,7.106,0.406783819
19.416,7.118,0.407994509
19.416,7.116,0.409290075
19.441,7.079,0.411801577
