width:32.667, height:7.415, time:0.327451229095459
width:32.692, height:7.38, time:0.32863593101501465
width:32.667, height:7.378, time:0.33341050148010254
width:32.667, height:7.463, time:0.33635783195495605
width:32.666, height:7.413, time:0.3392448425292969
width:32.666, height:7.303, time:0.3408076763153076
width:32.641, height:7.394, time:0.3434453010559082
width:32.59, height:7.417, time:0.34676051139831543
width:32.59, height:7.426, time:0.3493952751159668
width:32.792, height:7.479, time:0.3524169921875
width:32.817, height:7.44, time:0.35559940338134766
width:32.817, height:7.436, time:0.35559940338134766
width:32.918, height:7.311, time:0.3592543601989746
width:32.791, height:7.268, time:0.3623640537261963
width:32.791, height:7.307, time:0.36341285705566406
width:32.766, height:7.39, time:0.3662075996398926
width:32.767, height:7.403, time:0.3676424026489258
width:32.791, height:7.39, time:0.36981749534606934
width:32.791, height:7.374, time:0.3718299865722656
width:32.816, height:7.32, time:0.37420225143432617
width:32.841, height:7.33, time:0.3753798007965088
width:32.891, height:7.392, time:0.3784186840057373
width:32.891, height:7.349, time:0.38141751289367676
width:32.841, height:7.382, time:0.38407015800476074
width:32.816, height:7.448, time:0.38718509674072266
width:32.866, height:7.45, time:0.38819193840026855
width:32.966, height:7.432, time:0.3912026882171631
width:32.991, height:7.39, time:0.39420270919799805
width:32.991, height:7.436, time:0.3972017765045166
width:33.091, height:7.417, time:0.40020132064819336
width:33.048, height:7.45, time:0.4034602642059326
width:33.048, height:7.457, time:0.404468297958374
width:33.141, height:7.452, time:0.4074666500091553
width:33.265, height:7.431, time:0.41046714782714844
width:33.166, height:7.426, time:0.4114680290222168
width:33.191, height:7.428, time:0.41246485710144043
width:33.191, height:7.428, time:0.41246485710144043
width:33.191, height:7.436, time:0.41446566581726074
width:33.216, height:7.465, time:0.41747093200683594
width:33.266, height:7.467, time:0.4203782081604004
width:33.266, height:7.438, time:0.42322397232055664
width:33.292, height:7.444, time:0.42438578605651855
width:33.292, height:7.444, time:0.42739200592041016
width:33.316, height:7.423, time:0.42978882789611816
width:33.291, height:7.438, time:0.43318676948547363
width:33.291, height:7.446, time:0.4347116947174072
width:33.316, height:7.426, time:0.437389612197876
width:33.517, height:7.389, time:0.44038915634155273
width:33.392, height:7.432, time:0.4433877468109131
width:33.392, height:7.438, time:0.44438910484313965
width:33.469, height:7.444, time:0.4453873634338379
width:33.442, height:7.479, time:0.44838738441467285
width:33.417, height:7.463, time:0.4513866901397705
width:33.417, height:7.423, time:0.452709436416626
width:33.492, height:7.456, time:0.45542430877685547
width:33.491, height:7.47, time:0.45542430877685547
width:33.316, height:7.428, time:0.4592146873474121
width:33.314, height:7.43, time:0.4602172374725342
width:33.389, height:7.502, time:0.46321558952331543
width:33.389, height:7.5, time:0.46438121795654297
width:33.441, height:7.531, time:0.46675968170166016
width:33.441, height:7.527, time:0.4677608013153076
width:33.592, height:7.455, time:0.4718315601348877
width:33.542, height:7.448, time:0.473646879196167
width:33.541, height:7.442, time:0.4756934642791748
width:33.49, height:7.374, time:0.4782559871673584
width:33.491, height:7.415, time:0.48127222061157227
width:33.491, height:7.452, time:0.4843266010284424
width:33.541, height:7.434, time:0.4875917434692383
width:33.566, height:7.44, time:0.4902195930480957
width:33.591, height:7.436, time:0.4922294616699219
width:33.592, height:7.45, time:0.4922294616699219
width:33.592, height:7.444, time:0.4933593273162842
width:33.641, height:7.399, time:0.4963846206665039
width:33.641, height:7.397, time:0.49738478660583496
width:33.566, height:7.386, time:0.4983859062194824
width:33.617, height:7.386, time:0.4995865821838379
width:33.617, height:7.382, time:0.5001275539398193
width:33.592, height:7.44, time:0.5056366920471191
width:33.591, height:7.382, time:0.5081050395965576
width:33.617, height:7.372, time:0.5091049671173096
width:33.667, height:7.417, time:0.5121924877166748
width:33.667, height:7.417, time:0.5131938457489014
width:33.742, height:7.21, time:0.5166361331939697
width:33.743, height:7.434, time:0.5190248489379883
width:33.692, height:7.438, time:0.5200374126434326
width:33.692, height:7.432, time:0.5235400199890137
width:33.767, height:7.428, time:0.5263464450836182
width:33.792, height:7.403, time:0.5296506881713867
width:33.767, height:7.376, time:0.5325143337249756
width:33.742, height:7.376, time:0.5332837104797363
width:33.767, height:7.386, time:0.535888671875
width:33.767, height:7.415, time:0.5392005443572998
width:33.792, height:7.417, time:0.5408551692962646
width:33.792, height:7.407, time:0.5432863235473633
width:33.843, height:7.386, time:0.5442934036254883
width:33.892, height:7.354, time:0.5473573207855225
width:33.892, height:7.354, time:0.5483658313751221
width:33.792, height:7.403, time:0.5513138771057129
width:33.817, height:7.403, time:0.5522735118865967
width:33.842, height:7.38, time:0.5553271770477295
width:33.867, height:7.334, time:0.558326005935669
width:33.892, height:7.338, time:0.5593256950378418
width:33.892, height:7.334, time:0.5603272914886475
width:33.842, height:7.374, time:0.5633273124694824
