width:24.668, height:6.877, time:0.35508155822753906
width:24.643, height:6.912, time:0.35508155822753906
width:24.668, height:6.911, time:0.35508155822753906
width:24.669, height:6.926, time:0.3617105484008789
width:24.669, height:6.979, time:0.3658432960510254
width:24.693, height:6.96, time:0.3658432960510254
width:24.693, height:6.881, time:0.3697662353515625
width:24.694, height:6.875, time:0.37351036071777344
width:24.694, height:6.917, time:0.3760190010070801
width:24.718, height:6.964, time:0.37754178047180176
width:24.717, height:6.971, time:0.37754178047180176
width:24.742, height:6.961, time:0.38242149353027344
width:24.742, height:6.953, time:0.38573575019836426
width:24.742, height:6.968, time:0.3872499465942383
width:24.742, height:6.977, time:0.3885040283203125
width:24.743, height:6.979, time:0.3885040283203125
width:24.719, height:6.968, time:0.3885040283203125
width:24.719, height:6.959, time:0.3885040283203125
width:24.768, height:6.968, time:0.3885040283203125
width:24.768, height:6.935, time:0.39943552017211914
width:24.768, height:6.932, time:0.4014432430267334
width:24.793, height:6.979, time:0.4047391414642334
width:24.767, height:6.98, time:0.4052448272705078
width:24.793, height:6.976, time:0.40880417823791504
width:24.793, height:6.976, time:0.40930891036987305
width:24.794, height:6.942, time:0.4115605354309082
width:24.744, height:6.941, time:0.4115605354309082
width:24.744, height:6.969, time:0.41474223136901855
width:24.744, height:6.977, time:0.41724681854248047
width:24.744, height:6.969, time:0.41724681854248047
width:24.744, height:6.97, time:0.41724681854248047
width:24.744, height:6.959, time:0.41724681854248047
width:24.794, height:6.959, time:0.41724681854248047
width:24.793, height:6.966, time:0.43103694915771484
width:24.817, height:6.97, time:0.4346015453338623
width:24.766, height:6.959, time:0.43747758865356445
width:24.789, height:6.938, time:0.44058966636657715
width:24.815, height:6.943, time:0.4411125183105469
width:24.814, height:6.957, time:0.442150354385376
width:24.814, height:6.961, time:0.4436976909637451
width:24.816, height:6.967, time:0.4447464942932129
width:24.791, height:6.965, time:0.4452681541442871
width:24.889, height:6.951, time:0.44849133491516113
width:24.864, height:6.943, time:0.45114827156066895
width:24.863, height:6.951, time:0.4542975425720215
width:24.888, height:6.963, time:0.4569821357727051
width:24.887, height:6.944, time:0.4602935314178467
width:24.862, height:6.934, time:0.46289706230163574
width:24.863, height:6.924, time:0.46619701385498047
width:24.863, height:6.917, time:0.46724891662597656
width:24.867, height:6.947, time:0.4703679084777832
width:24.918, height:6.944, time:0.47296953201293945
width:24.891, height:6.952, time:0.47608065605163574
width:24.864, height:6.949, time:0.4771308898925781
width:24.841, height:6.937, time:0.48188066482543945
width:24.841, height:6.933, time:0.4834320545196533
width:24.843, height:6.943, time:0.48810458183288574
width:24.868, height:6.942, time:0.4891221523284912
width:24.868, height:6.945, time:0.490645170211792
width:24.842, height:6.961, time:0.49518370628356934
width:24.817, height:6.928, time:0.5002532005310059
width:24.869, height:6.932, time:0.5028605461120605
width:24.869, height:6.932, time:0.5044243335723877
width:24.894, height:6.932, time:0.5070531368255615
width:24.915, height:6.943, time:0.510185956954956
width:24.914, height:6.922, time:0.5132501125335693
width:24.915, height:6.927, time:0.5142858028411865
width:24.919, height:6.944, time:0.5173993110656738
width:24.945, height:6.91, time:0.5200035572052002
width:24.774, height:6.914, time:0.5231413841247559
width:24.774, height:6.912, time:0.5241806507110596
width:24.775, height:6.891, time:0.5273706912994385
width:24.775, height:6.876, time:0.5299675464630127
width:24.752, height:6.896, time:0.5330808162689209
width:24.775, height:6.905, time:0.53411865234375
width:24.752, height:6.898, time:0.5372393131256104
width:24.751, height:6.9, time:0.5382859706878662
width:24.776, height:6.892, time:0.5404078960418701
width:24.774, height:6.89, time:0.542755126953125
width:24.774, height:6.911, time:0.542755126953125
width:24.775, height:6.916, time:0.5458290576934814
width:24.773, height:6.906, time:0.5458290576934814
width:24.773, height:6.908, time:0.5458290576934814
width:24.969, height:6.918, time:0.5508267879486084
width:24.969, height:6.918, time:0.5508267879486084
width:24.945, height:6.895, time:0.5537095069885254
width:24.92, height:6.865, time:0.5583188533782959
width:24.895, height:6.885, time:0.5588417053222656
width:24.919, height:6.876, time:0.5615475177764893
width:24.919, height:6.873, time:0.5615475177764893
width:24.945, height:6.881, time:0.5615475177764893
